run,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,target_class
1,1.7643893576979437,-1.0048920724262758,-0.7959467378496852,-1.136212464269105,0.029658205419283972,1.5067020839496044,-0.09395506371140203,-0.6433157775756093,-0.5826614700953829,0.9562339388607396,
2,-0.48075765511415547,1.2454973632112332,0.040358873399956474,0.5110280126667359,-0.7686127284843515,0.3230624256141748,1.2758196688762966,0.909729776083154,-1.271946648488987,-1.7841790877639854,
3,-0.013051198233185226,2.1207192841441698,-2.0110329334943375,-0.32720594294026883,0.4872598645474193,0.4067920385570303,-0.9084217251396406,-0.17360102225123966,0.18284160195847893,0.23570003285161562,2.0
4,0.8211026594500997,-0.8531137108893209,-1.79945727517231,0.36590467814506356,1.7967343649316114,-0.4009550160624739,1.1740436916015902,-0.2843988982734887,-0.5481477639310895,-0.271712729799682,
5,-1.2613607961550284,0.8333056615930068,0.5234484622525873,-0.6677151780248537,0.29770555498604856,0.08652775267175522,-1.1155313322066556,-0.9088017259203727,2.1966594972482603,0.015762103555222038,
6,0.6585876111701107,-1.4605287836462082,-0.42858139716831356,-1.60939281518112,0.13961721848471376,-0.9597520929435817,1.1868404011230513,0.489044065897867,0.7695392008532479,1.214626591410233,
7,-0.37155472714028626,0.05778773325630773,0.6692448027259565,0.034891479034586,0.34324780588140485,0.05703385847007983,-2.50984517079711,1.6172423464075447,-0.3761210544168667,0.47807292657836364,6.0
8,-1.0972597583038013,-2.065956912706231,0.11795374625044411,0.5373364924774442,0.14507183329236462,0.6463994147046414,0.953111368086315,0.850448121122228,0.9926046661026221,-1.079708971026027,1.0
9,-0.7078893599841968,0.4427391140192061,0.14551981326212665,0.47737983448582516,-1.6371722663966024,1.1064975395363723,1.9802497397603225,-0.42299102462300064,-0.48698519769554416,-0.8973481923645086,
10,0.30952958075632814,2.242791541580478,-1.423504271198884,-0.02531890370916816,0.07256088183321553,-1.2536868643183,0.22428362918138173,0.32580828879445317,0.4700467217697125,-0.9425106046891207,
