run,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,target_class
1,0.6946121147542026,0.4498279366024026,0.5643395601394032,0.2639302032719967,-0.9031884477110315,0.7559417265046763,-2.592488116055534,0.15754948379737732,0.8553825162285842,-0.2459069775320775,6.0
2,-0.004137355118059152,-1.401884251136583,-1.384506763909256,1.3997396178140469,-0.09432514364548537,0.00594837881264516,0.3900700788232083,-0.881876200884221,0.1875452053983862,1.783426433845318,
3,1.112668082366733,1.2427776426284571,-1.089696109402651,0.43556100287313115,-0.15737016133865606,-0.9259839976040452,-2.0480791644254412,0.6739249449030547,0.47936578521895007,0.2768319747805312,6.0
4,0.24312813320182086,0.6912732302239983,-0.06391269353226074,0.18731680628951627,0.28439120859795397,0.8808135824972418,-2.8755935822382477,0.5027010402078204,0.20285473477957694,-0.05297246002742019,6.0
5,1.569712081478539,1.2624459485407415,0.36906389134490547,0.6400085356686761,0.7095577577824815,-0.25865701240408984,-1.4579592181698362,-0.8698092503707741,-0.9076977058608483,-1.0566650280097205,
6,-1.3304827418300325,-1.060969388202404,0.2513305249465037,-0.33886738491626966,1.8735182052409916,1.588355483516016,-0.7813564551127656,-0.04562499962168634,-0.44250062395603246,0.2865973799357387,
7,0.4480765404965317,1.058875489146375,-0.5449076968066412,0.17017689492123125,0.012783784395539094,0.10399476523481156,-2.4261378867932075,-0.6756023767222047,1.2987013027426397,0.5540391833849804,6.0
8,0.20175896382370323,-0.4940616219712594,1.2950885198163586,0.8883541676427021,-0.6137956007882814,0.5416589933423585,-2.206415708457297,-0.7930955891769659,1.0276784340730225,0.15282944169564813,6.0
9,0.33746346759365303,0.27460598410806714,0.3879157303540711,0.3856438527315548,0.23882481261542174,0.3619465231888138,-2.9965627474333805,0.38658696427765493,0.31019102444160324,0.3133843881225384,6.0
10,0.8603176284292011,-0.46182312945073983,0.510723695658996,-0.07817658267459496,-0.35965784261131895,0.9264574235382455,-0.09014785581004557,-0.4262368821948605,-2.339235906489626,1.4577794516046878,8.0
